Car Name,Horse Power,Weight,MPG
chevrolet chevelle malibu,130,3504,18
buick skylark 320,165,3693,15
plymouth satellite,150,3436,18
amc rebel sst,150,3433,16
ford torino,140,3449,17
ford galaxie 500,198,4341,15
chevrolet impala,220,4354,14
plymouth fury iii,215,4312,14
pontiac catalina,225,4425,14
amc ambassador dpl,190,3850,15
dodge challenger se,170,3563,15
plymouth 'cuda 340,160,3609,14
chevrolet monte carlo,150,3761,15
buick estate wagon (sw),225,3086,14
toyota corona mark ii,95,2372,24
plymouth duster,95,2833,22
amc hornet,97,2774,18
ford maverick,85,2587,21
datsun pl510,88,2130,27
volkswagen 1131 deluxe sedan,46,1835,26
peugeot 504,87,2672,25
audi 100 ls,90,2430,24
saab 99e,95,2375,25
bmw 2002,113,2234,26
amc gremlin,90,2648,21
ford f250,215,4615,10
chevy c20,200,4376,10
dodge d200,210,4382,11
hi 1200d,193,4732,9
datsun pl510,88,2130,27
chevrolet vega 2300,90,2264,28
toyota corona,95,2228,25
amc gremlin,100,2634,19
plymouth satellite custom,105,3439,16
chevrolet chevelle malibu,100,3329,17
ford torino 500,88,3302,19
amc matador,100,3288,18
chevrolet impala,165,4209,14
pontiac catalina brougham,175,4464,14
ford galaxie 500,153,4154,14
plymouth fury iii,150,4096,14
dodge monaco (sw),180,4955,12
ford country squire (sw),170,4746,13
pontiac safari (sw),175,5140,13
amc hornet sportabout (sw),110,2962,18
chevrolet vega (sw),72,2408,22
pontiac firebird,100,3282,19
ford mustang,88,3139,18
mercury capri 2000,86,2220,23
opel 1900,90,2123,28
peugeot 304,70,2074,30
fiat 124b,76,2065,30
toyota corolla 1200,65,1773,31
datsun 1200,69,1613,35
volkswagen model 111,60,1834,27
plymouth cricket,70,1955,26
toyota corona hardtop,95,2278,24
dodge colt hardtop,80,2126,25
volkswagen type 3,54,2254,23
chevrolet vega,90,2408,20
ford pinto runabout,86,2226,21
chevrolet impala,165,4274,13
pontiac catalina,175,4385,14
plymouth fury iii,150,4135,15
ford galaxie 500,153,4129,14
amc ambassador sst,150,3672,17
mercury marquis,208,4633,11
buick lesabre custom,155,4502,13
oldsmobile delta 88 royale,160,4456,12
chrysler newport royal,190,4422,13
mazda rx2 coupe,97,2330,19
amc matador (sw),150,3892,15
chevrolet chevelle concours (sw),130,4098,13
ford gran torino (sw),140,4294,13
plymouth satellite custom (sw),150,4077,14
volvo 145e (sw),112,2933,18
volkswagen 411 (sw),76,2511,22
peugeot 504 (sw),87,2979,21
renault 12 (sw),69,2189,26
ford pinto (sw),86,2395,22
datsun 510 (sw),92,2288,28
toyouta corona mark ii (sw),97,2506,23
dodge colt (sw),80,2164,28
toyota corolla 1600 (sw),88,2100,27
buick century 350,175,4100,13
amc matador,150,3672,14
chevrolet malibu,145,3988,13
ford gran torino,137,4042,14
dodge coronet custom,150,3777,15
mercury marquis brougham,198,4952,12
chevrolet caprice classic,150,4464,13
ford ltd,158,4363,13
plymouth fury gran sedan,150,4237,14
chrysler new yorker brougham,215,4735,13
buick electra 225 custom,225,4951,12
amc ambassador brougham,175,3821,13
plymouth valiant,105,3121,18
chevrolet nova custom,100,3278,16
amc hornet,100,2945,18
ford maverick,88,3021,18
plymouth duster,95,2904,23
volkswagen super beetle,46,1950,26
chevrolet impala,150,4997,11
ford country,167,4906,12
plymouth custom suburb,170,4654,13
oldsmobile vista cruiser,180,4499,12
amc gremlin,100,2789,18
toyota carina,88,2279,20
chevrolet vega,72,2401,21
datsun 610,94,2379,22
maxda rx3,90,2124,18
ford pinto,85,2310,19
mercury capri v6,107,2472,21
fiat 124 sport coupe,90,2265,26
chevrolet monte carlo s,145,4082,15
pontiac grand prix,230,4278,16
fiat 128,49,1867,29
opel manta,75,2158,24
audi 100ls,91,2582,20
volvo 144ea,112,2868,19
dodge dart custom,150,3399,15
saab 99le,110,2660,24
toyota mark ii,122,2807,20
oldsmobile omega,180,3664,11
plymouth duster,95,3102,20
amc hornet,100,2901,19
chevrolet nova,100,3336,15
datsun b210,67,1950,31
ford pinto,80,2451,26
toyota corolla 1200,65,1836,32
chevrolet vega,75,2542,25
chevrolet chevelle malibu classic,100,3781,16
amc matador,110,3632,16
plymouth satellite sebring,105,3613,18
ford gran torino,140,4141,16
buick century luxus (sw),150,4699,13
dodge coronet custom (sw),150,4457,14
ford gran torino (sw),140,4638,14
amc matador (sw),150,4257,14
audi fox,83,2219,29
volkswagen dasher,67,1963,26
opel manta,78,2300,26
toyota corona,52,1649,31
datsun 710,61,2003,32
dodge colt,75,2125,28
fiat 128,75,2108,24
fiat 124 tc,75,2246,26
honda civic,97,2489,24
subaru,93,2391,26
fiat x1.9,67,2000,31
plymouth valiant custom,95,3264,19
chevrolet nova,105,3459,18
mercury monarch,72,3432,15
ford maverick,72,3158,15
pontiac catalina,170,4668,16
chevrolet bel air,145,4440,15
plymouth grand fury,150,4498,16
ford ltd,148,4657,14
buick century,110,3907,17
chevroelt chevelle malibu,105,3897,16
amc matador,110,3730,15
plymouth fury,95,3785,18
buick skyhawk,110,3039,21
chevrolet monza 2+2,110,3221,20
ford mustang ii,129,3169,13
toyota corolla,75,2171,29
ford pinto,83,2639,23
amc gremlin,100,2914,20
pontiac astro,78,2592,23
toyota corona,96,2702,24
volkswagen dasher,71,2223,25
datsun 710,97,2545,24
ford pinto,97,2984,18
volkswagen rabbit,70,1937,29
amc pacer,90,3211,19
audi 100ls,95,2694,23
peugeot 504,88,2957,23
volvo 244dl,98,2945,22
saab 99le,115,2671,25
honda civic cvcc,53,1795,33
fiat 131,86,2464,28
opel 1900,81,2220,25
capri ii,92,2572,25
dodge colt,79,2255,26
renault 12tl,83,2202,27
chevrolet chevelle malibu classic,140,4215,17.5
dodge coronet brougham,150,4190,16
amc matador,120,3962,15.5
ford gran torino,152,4215,14.5
plymouth valiant,100,3233,22
chevrolet nova,105,3353,22
ford maverick,81,3012,24
amc hornet,90,3085,22.5
chevrolet chevette,52,2035,29
chevrolet woody,60,2164,24.5
vw rabbit,70,1937,29
honda civic,53,1795,33
dodge aspen se,100,3651,20
ford granada ghia,78,3574,18
pontiac ventura sj,110,3645,18.5
amc pacer d/l,95,3193,17.5
volkswagen rabbit,71,1825,29.5
datsun b-210,70,1990,32
toyota corolla,75,2155,28
ford pinto,72,2565,26.5
volvo 245,102,3150,20
plymouth volare premier v8,150,3940,13
peugeot 504,88,3270,19
toyota mark ii,108,2930,19
mercedes-benz 280s,120,3820,16.5
cadillac seville,180,4380,16.5
chevy c10,145,4055,13
ford f108,130,3870,13
dodge d100,150,3755,13
honda accord cvcc,68,2045,31.5
buick opel isuzu deluxe,80,2155,30
renault 5 gtl,58,1825,36
plymouth arrow gs,96,2300,25.5
datsun f-10 hatchback,70,1945,33.5
chevrolet caprice classic,145,3880,17.5
oldsmobile cutlass supreme,110,4060,17
dodge monaco brougham,145,4140,15.5
mercury cougar brougham,130,4295,15
chevrolet concours,110,3520,17.5
buick skylark,105,3425,20.5
plymouth volare custom,100,3630,19
ford granada,98,3525,18.5
pontiac grand prix lj,180,4220,16
chevrolet monte carlo landau,170,4165,15.5
chrysler cordoba,190,4325,15.5
ford thunderbird,149,4335,16
volkswagen rabbit custom,78,1940,29
pontiac sunbird coupe,88,2740,24.5
toyota corolla liftback,75,2265,26
ford mustang ii 2+2,89,2755,25.5
chevrolet chevette,63,2051,30.5
dodge colt m/m,83,2075,33.5
subaru dl,67,1985,30
volkswagen dasher,78,2190,30.5
datsun 810,97,2815,22
bmw 320i,110,2600,21.5
mazda rx-4,110,2720,21.5
volkswagen rabbit custom diesel,48,1985,43.1
ford fiesta,66,1800,36.1
mazda glc deluxe,52,1985,32.8
datsun b210 gx,70,2070,39.4
honda civic cvcc,60,1800,36.1
oldsmobile cutlass salon brougham,110,3365,19.9
dodge diplomat,140,3735,19.4
mercury monarch ghia,139,3570,20.2
pontiac phoenix lj,105,3535,19.2
chevrolet malibu,95,3155,20.5
ford fairmont (auto),85,2965,20.2
ford fairmont (man),88,2720,25.1
plymouth volare,100,3430,20.5
amc concord,90,3210,19.4
buick century special,105,3380,20.6
mercury zephyr,85,3070,20.8
dodge aspen,110,3620,18.6
amc concord d/l,120,3410,18.1
chevrolet monte carlo landau,145,3425,19.2
buick regal sport coupe (turbo),165,3445,17.7
ford futura,139,3205,18.1
dodge magnum xe,140,4080,17.5
chevrolet chevette,68,2155,30
toyota corona,95,2560,27.5
datsun 510,97,2300,27.2
dodge omni,75,2230,30.9
toyota celica gt liftback,95,2515,21.1
plymouth sapporo,105,2745,23.2
oldsmobile starfire sx,85,2855,23.8
datsun 200-sx,97,2405,23.9
audi 5000,103,2830,20.3
volvo 264gl,125,3140,17
saab 99gle,115,2795,21.6
peugeot 604sl,133,3410,16.2
volkswagen scirocco,71,1990,31.5
honda accord lx,68,2135,29.5
pontiac lemans v6,115,3245,21.5
mercury zephyr 6,85,2990,19.8
ford fairmont 4,88,2890,22.3
amc concord dl 6,90,3265,20.2
dodge aspen 6,110,3360,20.6
chevrolet caprice classic,130,3840,17
ford ltd landau,129,3725,17.6
mercury grand marquis,138,3955,16.5
dodge st. regis,135,3830,18.2
buick estate wagon (sw),155,4360,16.9
ford country squire (sw),142,4054,15.5
chevrolet malibu classic (sw),125,3605,19.2
chrysler lebaron town @ country (sw),150,3940,18.5
vw rabbit custom,71,1925,31.9
maxda glc deluxe,65,1975,34.1
dodge colt hatchback custom,80,1915,35.7
amc spirit dl,80,2670,27.4
mercedes benz 300d,77,3530,25.4
cadillac eldorado,125,3900,23
peugeot 504,71,3190,27.2
oldsmobile cutlass salon brougham,90,3420,23.9
plymouth horizon,70,2200,34.2
plymouth horizon tc3,70,2150,34.5
datsun 210,65,2020,31.8
fiat strada custom,69,2130,37.3
buick skylark limited,90,2670,28.4
chevrolet citation,115,2595,28.8
oldsmobile omega brougham,115,2700,26.8
pontiac phoenix,90,2556,33.5
vw rabbit,76,2144,41.5
toyota corolla tercel,60,1968,38.1
chevrolet chevette,70,2120,32.1
datsun 310,65,2019,37.2
chevrolet citation,90,2678,28
ford fairmont,88,2870,26.4
amc concord,90,3003,24.3
dodge aspen,90,3381,19.1
audi 4000,78,2188,34.3
toyota corona liftback,90,2711,29.8
mazda 626,75,2542,31.3
datsun 510 hatchback,92,2434,37
toyota corolla,75,2265,32.2
mazda glc,65,2110,46.6
dodge colt,105,2800,27.9
datsun 210,65,2110,40.8
vw rabbit c (diesel),48,2085,44.3
vw dasher (diesel),48,2335,43.4
audi 5000s (diesel),67,2950,36.4
mercedes-benz 240d,67,3250,30
honda civic 1500 gl,67,1850,44.6
subaru dl,67,2145,33.8
vokswagen rabbit,62,1845,29.8
datsun 280-zx,132,2910,32.7
mazda rx-7 gs,100,2420,23.7
triumph tr7 coupe,88,2500,35
honda accord,72,2290,32.4
plymouth reliant,84,2490,27.2
buick skylark,84,2635,26.6
dodge aries wagon (sw),92,2620,25.8
chevrolet citation,110,2725,23.5
plymouth reliant,84,2385,30
toyota starlet,58,1755,39.1
plymouth champ,64,1875,39
honda civic 1300,60,1760,35.1
subaru,67,2065,32.3
datsun 210 mpg,65,1975,37
toyota tercel,62,2050,37.7
mazda glc 4,68,1985,34.1
plymouth horizon 4,63,2215,34.7
ford escort 4w,65,2045,34.4
ford escort 2h,65,2380,29.9
volkswagen jetta,74,2190,33
honda prelude,75,2210,33.7
toyota corolla,75,2350,32.4
datsun 200sx,100,2615,32.9
mazda 626,74,2635,31.6
peugeot 505s turbo diesel,80,3230,28.1
volvo diesel,76,3160,30.7
toyota cressida,116,2900,25.4
datsun 810 maxima,120,2930,24.2
buick century,110,3415,22.4
oldsmobile cutlass ls,105,3725,26.6
ford granada gl,88,3060,20.2
chrysler lebaron salon,85,3465,17.6
chevrolet cavalier,88,2605,28
chevrolet cavalier wagon,88,2640,27
chevrolet cavalier 2-door,88,2395,34
pontiac j2000 se hatchback,85,2575,31
dodge aries se,84,2525,29
pontiac phoenix,90,2735,27
ford fairmont futura,92,2865,24
volkswagen rabbit l,74,1980,36
mazda glc custom l,68,2025,37
mazda glc custom,68,1970,31
plymouth horizon miser,63,2125,38
mercury lynx l,70,2125,36
nissan stanza xe,88,2160,36
honda accord,75,2205,36
toyota corolla,70,2245,34
honda civic,67,1965,38
honda civic (auto),67,1965,32
datsun 310 gx,67,1995,38
buick century limited,110,2945,25
oldsmobile cutlass ciera (diesel),85,3015,38
chrysler lebaron medallion,92,2585,26
ford granada l,112,2835,22
toyota celica gt,96,2665,32
dodge charger 2.2,84,2370,36
chevrolet camaro,90,2950,27
ford mustang gl,86,2790,27
vw pickup,52,2130,44
dodge rampage,84,2295,32
ford ranger,79,2625,28
chevy s-10,82,2720,31
